id,latitude,longtitude,Name
100,1.33125924,103.8980486,T1
101,1.32255754,103.8943086,T2
102,1.3166356,103.8891225,T3
103,1.31286055,103.8545565,T4
104,1.34439896,103.8765938,T5
105,1.33616189,103.8770866,T6
106,1.32552844,103.8691014,T7
107,1.32303589,103.8774815,T8
108,1.33465304,103.870449,T9
109,1.32606138,103.8793007,T10
110,1.25886946,103.898879,T11
111,1.26973345,103.8810448,T12
112,1.32914713,103.8334781,T13
113,1.32960595,103.8807937,T14
114,1.33700251,103.8492249,T15
115,1.27845714,103.8571762,T16
116,1.36019784,103.8563582,T17
117,1.31551921,103.8632839,T18
